Office_Code,Office_Name,Location,Manager,Total_Revenue
1606,Sucursal 1606,Zamora,Carlota Sobrino,10938.4
1607,Sucursal 1607,Vizcaya,Blanca Salvador,30961.05
1608,Sucursal 1608,Málaga,Julio Ferrández,33434.3
1609,Sucursal 1609,Segovia,Américo Torrent,21026.82
1610,Sucursal 1610,Girona,René Montenegro,6525.320000000001
1611,Sucursal 1611,Barcelona,Casandra Agudo,17573.18
1612,Sucursal 1612,Zamora,Patricia Corral,34526.61
1613,Sucursal 1613,Melilla,Ángel Mas,21695.8
1614,Sucursal 1614,Baleares,Pía Fuentes,13385.32
1615,Sucursal 1615,Soria,Tomasa Juliá,20862.85
1616,Sucursal 1616,León,Adelia Priego,26666.260000000002
1617,Sucursal 1617,La Rioja,Lucio Ávila,14949.04
1618,Sucursal 1618,Albacete,Hortensia Calzada,6375.08
1619,Sucursal 1619,Cuenca,Manuela Linares,20889.760000000002
1621,Sucursal 1621,Asturias,Gonzalo Juliá,14468.27
1622,Sucursal 1622,La Coruña,Ruben Quintana,19140.77
1623,Sucursal 1623,Jaén,Cristina Alcalde,19363.89
1624,Sucursal 1624,Almería,Abilio Aguiló,15275.57
1625,Sucursal 1625,La Coruña,Galo Ribes,12511.9
1626,Sucursal 1626,Castellón,Anselmo Espejo,33550.3
1627,Sucursal 1627,Tarragona,Plácido Codina,4867.91
1628,Sucursal 1628,Palencia,Montserrat Ugarte,19790.18
1629,Sucursal 1629,Lugo,Nacho Ros,7953.38
1630,Sucursal 1630,Ávila,Juan Antonio Montalbán,15190.54
1631,Sucursal 1631,Baleares,Erasmo Llopis,39694.97
1632,Sucursal 1632,Albacete,Pilar Espejo,8423.28
1633,Sucursal 1633,Cáceres,Ciro Álamo,18084.94
1634,Sucursal 1634,Albacete,Octavio Juan,26318.86
1635,Sucursal 1635,Cáceres,Rufino Murillo,12558.91
1636,Sucursal 1636,Ciudad,Nilo Milla,24159.43
1637,Sucursal 1637,Soria,Teresa Royo,1474.89
1638,Sucursal 1638,Segovia,Mar Isern,20986.95
1639,Sucursal 1639,Córdoba,Araceli Tenorio,10619.93
1640,Sucursal 1640,Murcia,Perlita Guillen,30673.78
1641,Sucursal 1641,Alicante,Epifanio Planas,49074.5
1642,Sucursal 1642,Girona,Lourdes Amores,15241.33
1643,Sucursal 1643,Cádiz,Aníbal Gutiérrez,13145.1
1644,Sucursal 1644,Soria,Ana Belén Lladó,15072.61
1645,Sucursal 1645,Zamora,Nilo Sedano,34081.24
1646,Sucursal 1646,Vizcaya,Alonso Camacho,4737.26
1647,Sucursal 1647,Vizcaya,Juan Manuel Calderón,17867.739999999998
1648,Sucursal 1648,Soria,Inés Acevedo,17982.69
1649,Sucursal 1649,Madrid,Maximiliano Bas,25027.9
1650,Sucursal 1650,Girona,Juana Llanos,21519.02
1651,Sucursal 1651,Jaén,Marcio Cabanillas,12967.64
1652,Sucursal 1652,Málaga,Inés Blanca,28012.4
1653,Sucursal 1653,Badajoz,Cruz Zamorano,12662.400000000001
1654,Sucursal 1654,Valladolid,Primitiva Figueroa,10754.75
1655,Sucursal 1655,Tarragona,Casandra Ortega,13269.89
1656,Sucursal 1656,Madrid,Trini Carballo,19870.489999999998
1657,Sucursal 1657,Zamora,Imelda Meléndez,10045.52
1658,Sucursal 1658,Salamanca,Casandra Avilés,18698.29
1659,Sucursal 1659,Segovia,Pacífica Llano,7565.55
1660,Sucursal 1660,Castellón,Fabiana Santamaría,32159.74
1661,Sucursal 1661,Cáceres,Almudena Lloret,32100.559999999998
1662,Sucursal 1662,Toledo,Felipe Peña,17092.23
1664,Sucursal 1664,Burgos,Tomasa Cortes,14248.869999999999
1665,Sucursal 1665,Huelva,Leyre Castillo,16814.420000000002
1666,Sucursal 1666,Zaragoza,Anselmo Yuste,9158.3
1667,Sucursal 1667,Teruel,Natalia Guerra,9088.83
1668,Sucursal 1668,León,Maura Abril,25124.9
1669,Sucursal 1669,Santa Cruz de Tenerife,Anastasio Carbó,26560.28
1670,Sucursal 1670,Cáceres,Melisa Ávila,20268.54
1671,Sucursal 1671,Lugo,Renato Antúnez,13866.62
1672,Sucursal 1672,Cádiz,Ainara Esteban,14052.55
1673,Sucursal 1673,Albacete,Brunilda Suárez,12371.61
1674,Sucursal 1674,Burgos,Alexandra Tenorio,7136.22
1675,Sucursal 1675,La Rioja,Eliana Bermejo,17070.8
1676,Sucursal 1676,Toledo,Violeta Diaz,8406.11
1677,Sucursal 1677,Granada,Anastasia Robledo,17244.739999999998
1679,Sucursal 1679,Melilla,Imelda Huerta,10657.789999999999
1680,Sucursal 1680,Sevilla,Ruy Pereira,17257.01
1681,Sucursal 1681,Segovia,Quique Soriano,20437.48
1682,Sucursal 1682,Ciudad,Loreto Falcó,7963.09
1683,Sucursal 1683,Jaén,Crescencia Garcia,19748.98
1684,Sucursal 1684,Cáceres,Francisco Javier Cortes,31710.7
1685,Sucursal 1685,Córdoba,Dorita Andrade,9886.16
1686,Sucursal 1686,Segovia,Teófila Paz,26756.48
1687,Sucursal 1687,Salamanca,Feliciana Beltrán,6765.79
1688,Sucursal 1688,Cádiz,Édgar Taboada,17276.89
1689,Sucursal 1689,La Rioja,Darío Palomar,19098.47
1690,Sucursal 1690,Guipúzcoa,Concha Gutierrez,34743.83
1691,Sucursal 1691,Valladolid,Gastón Mínguez,27293.7
1692,Sucursal 1692,Guadalajara,Leonardo Expósito,13961.34
1693,Sucursal 1693,Ciudad,Dan Luz,32331.68
1694,Sucursal 1694,Castellón,Vinicio Paredes,16670.06
1695,Sucursal 1695,Badajoz,Rogelio Saavedra,5333.94
1696,Sucursal 1696,Guipúzcoa,Margarita Ortiz,3472.21
1697,Sucursal 1697,Cádiz,Bautista Cepeda,21220.829999999998
1698,Sucursal 1698,Salamanca,Montserrat Santiago,16757.75
1699,Sucursal 1699,Tarragona,Leonel Almeida,30126.69
1700,Sucursal 1700,Soria,Palmira Fabra,11312.86
1701,Sucursal 1701,Sevilla,Pánfilo Berenguer,18437.09
1702,Sucursal 1702,Álava,Adriana Zurita,11332.14
1703,Sucursal 1703,Valencia,Anna Granados,13762.779999999999
1704,Sucursal 1704,Málaga,Pascual Montenegro,14058.32
1705,Sucursal 1705,Navarra,Antonia Benitez,17485.98
1706,Sucursal 1706,Teruel,Feliciana Guillen,20235.32
1707,Sucursal 1707,Cuenca,Lisandro Gilabert,27186.04
1708,Sucursal 1708,Zaragoza,Mauricio Bernat,26390.03
1709,Sucursal 1709,Huesca,Aurelia Pazos,14983.84
1710,Sucursal 1710,La Coruña,Hernán Moll,21138.510000000002
1712,Sucursal 1712,Las Palmas,Socorro Mora,6614.14
1713,Sucursal 1713,La Coruña,Pánfilo Adán,7095.879999999999
1714,Sucursal 1714,Badajoz,Ciríaco Rey,5733.84
1715,Sucursal 1715,Ceuta,Olivia Escudero,19958.79
1716,Sucursal 1716,Albacete,Florencia Cueto,17720.93
1717,Sucursal 1717,Ciudad,Íñigo Pedro,14080.82
1718,Sucursal 1718,Castellón,Natalio Crespi,3467.26
1719,Sucursal 1719,Navarra,Prudencia Bolaños,2313.47
1720,Sucursal 1720,Salamanca,Sabas Donaire,10690.55
1721,Sucursal 1721,Melilla,Reyes Matas,14682.4
1722,Sucursal 1722,La Rioja,Jose Antonio Delgado,11654.380000000001
1723,Sucursal 1723,Melilla,Teresa Moya,45834.28
1724,Sucursal 1724,Guadalajara,Yéssica Verdugo,16341.34
1725,Sucursal 1725,Lugo,Águeda Jiménez,8233.36
1726,Sucursal 1726,Vizcaya,Inocencio Amigó,8794.310000000001
1727,Sucursal 1727,Badajoz,Camila Alba,17368.379999999997
1728,Sucursal 1728,Cáceres,Visitación Rueda,24501.38
1729,Sucursal 1729,Almería,Rosario Silva,13144.1
1730,Sucursal 1730,Murcia,Lupe Mesa,14203.12
1731,Sucursal 1731,Huesca,Pepe Echevarría,15393.240000000002
1732,Sucursal 1732,Murcia,Cruz Tello,22233.26
1733,Sucursal 1733,Toledo,Chucho Tenorio,11136.2
1734,Sucursal 1734,Ceuta,Brunilda Palomares,16060.75
1735,Sucursal 1735,Burgos,Diego Farré,10717.64
1736,Sucursal 1736,Ciudad,Amaro Pombo,20059.379999999997
1737,Sucursal 1737,Asturias,Pepe Rodríguez,20483.28
1738,Sucursal 1738,Córdoba,Narciso Cañellas,17645.94
1739,Sucursal 1739,Sevilla,Roldán Goicoechea,42087.2
1740,Sucursal 1740,Toledo,Julio Arroyo,2661.23
1741,Sucursal 1741,Huesca,Caridad Echevarría,22631.84
1742,Sucursal 1742,La Coruña,Silvia Duran,10036.09
1743,Sucursal 1743,Córdoba,Odalis López,32496.05
1744,Sucursal 1744,Ávila,Lalo Tudela,1479.5
1745,Sucursal 1745,Castellón,Martin Lorenzo,28684.26
1746,Sucursal 1746,Zaragoza,Lilia Cuesta,7560.17
1747,Sucursal 1747,Lleida,Leire Ferreras,7794.55
1748,Sucursal 1748,León,Bernardino Cabezas,4622.9
1749,Sucursal 1749,Las Palmas,Soraya Báez,12046.9
1750,Sucursal 1750,Toledo,Lucas Carbó,23855.19
1751,Sucursal 1751,Jaén,Gabino Villalonga,8741.880000000001
1752,Sucursal 1752,Valencia,Toño Estrada,12688.41
1753,Sucursal 1753,Ciudad,Ámbar Domínguez,26754.55
1754,Sucursal 1754,Zaragoza,Daniela Jódar,6600.530000000001
1755,Sucursal 1755,Alicante,Marcelino Llamas,34292.93
1756,Sucursal 1756,Lleida,Maricruz Gordillo,15844.08
1757,Sucursal 1757,Zaragoza,Sabas Pedrosa,38573.53
1758,Sucursal 1758,Segovia,Bartolomé Alemán,28935.41
1759,Sucursal 1759,Ávila,Alexandra Palomares,4388.97
1760,Sucursal 1760,Álava,Catalina Mulet,5810.13
1761,Sucursal 1761,Lugo,Blas Sáenz,23368.52
1762,Sucursal 1762,Cádiz,Apolinar Flores,34397.64
1763,Sucursal 1763,Málaga,Melisa Aroca,15789.59
1764,Sucursal 1764,Salamanca,Águeda Cortina,27771.9
1765,Sucursal 1765,Ourense,Juliana Suárez,17012.559999999998
1766,Sucursal 1766,Burgos,Bernardita Sierra,16051.7
1767,Sucursal 1767,Zamora,Hilda Valencia,10038.52
1768,Sucursal 1768,Navarra,León Ródenas,13427.52
1769,Sucursal 1769,Albacete,Abraham Aguado,11975.75
1770,Sucursal 1770,Valladolid,Milagros Campo,14388.72
1771,Sucursal 1771,León,Luis Ángel Ramón,29832.019999999997
1772,Sucursal 1772,Valladolid,Felipe Antúnez,35618.78
1773,Sucursal 1773,Jaén,Nuria Lucena,1857.5
1774,Sucursal 1774,Sevilla,Diana Ferrero,12040.23
1775,Sucursal 1775,Baleares,Clara Falcón,19695.4
1776,Sucursal 1776,La Coruña,Jeremías Fuente,16287.78
1777,Sucursal 1777,Albacete,Urbano Navarro,2800.31
1778,Sucursal 1778,Segovia,Amaya Cabello,17563.11
1779,Sucursal 1779,Cuenca,Gerardo Adadia,7553.68
1780,Sucursal 1780,Guipúzcoa,Antonio Mata,20263.36
1781,Sucursal 1781,Ávila,Marianela Ferrándiz,23949.55
1782,Sucursal 1782,Guipúzcoa,Daniel Badía,17959.23
1783,Sucursal 1783,Valladolid,Apolinar Poza,4300.19
1784,Sucursal 1784,Sevilla,Alicia Marti,20033.59
1785,Sucursal 1785,Córdoba,Bernarda Carnero,28898.91
1786,Sucursal 1786,Ceuta,Eligio Atienza,19470.54
1787,Sucursal 1787,Jaén,Cándido Llopis,22045.08
1788,Sucursal 1788,Murcia,Pastora Pomares,27754.66
1789,Sucursal 1789,Burgos,Albano Rosales,9490.27
1790,Sucursal 1790,Girona,Cintia Villaverde,1701.02
1791,Sucursal 1791,Zaragoza,Cristóbal Adadia,12514.14
1792,Sucursal 1792,Ávila,Herminio Giralt,10604.01
1793,Sucursal 1793,Zaragoza,Poncio Pastor,10754.7
1794,Sucursal 1794,Córdoba,Paulina Carranza,18774.129999999997
1795,Sucursal 1795,Cantabria,Benita Real,7475.9400000000005
1796,Sucursal 1796,Ceuta,Nayara Santamaria,13242.74
1797,Sucursal 1797,Segovia,María Luisa Alberto,7451.15
1799,Sucursal 1799,Melilla,Rocío Sarmiento,7447.52
1800,Sucursal 1800,Madrid,Marc Navarrete,10334.44
1801,Sucursal 1801,Cantabria,Guadalupe Pinto,34939.49
1802,Sucursal 1802,Álava,Teo Crespo,19357.02
1803,Sucursal 1803,La Rioja,Eleuterio Prat,22008.09
1804,Sucursal 1804,Murcia,Tito Carpio,18889.04
1805,Sucursal 1805,Baleares,Xavier Vall,12986.6
1806,Sucursal 1806,Asturias,Evelia Uría,15064.259999999998
1807,Sucursal 1807,Sevilla,Jafet Barranco,24962.84
1808,Sucursal 1808,Ourense,Darío Rebollo,13419.83
1809,Sucursal 1809,Pontevedra,Bonifacio Terrón,9097.16
1810,Sucursal 1810,Cuenca,Silvia Benavente,21996.83
1811,Sucursal 1811,Murcia,Rufino Hernando,8437.779999999999
1813,Sucursal 1813,Santa Cruz de Tenerife,Toribio Cañas,37260.19
1814,Sucursal 1814,Zamora,Anastasia Izquierdo,9910.68
1815,Sucursal 1815,Madrid,Miguel Rosa,13231.970000000001
1816,Sucursal 1816,Málaga,Lilia Vendrell,13717.95
1817,Sucursal 1817,Soria,Demetrio Vila,30101.27
1818,Sucursal 1818,Santa Cruz de Tenerife,Concha Soler,25434.54
1819,Sucursal 1819,Tarragona,Ángel Alcolea,6804.41
1820,Sucursal 1820,Melilla,Merche Cepeda,6093.92
1821,Sucursal 1821,Melilla,Rómulo Olmo,8002.889999999999
1822,Sucursal 1822,Navarra,Conrado Sevilla,27328.55
1823,Sucursal 1823,Huesca,Leire Valbuena,7824.71
1824,Sucursal 1824,Baleares,Sancho Fonseca,4975.06
1825,Sucursal 1825,Cantabria,Nerea Hernández,25863.08
1826,Sucursal 1826,Tarragona,Gaspar Suarez,6000.06
1827,Sucursal 1827,Granada,Itziar Diego,11332.99
1828,Sucursal 1828,Asturias,Adelaida Piquer,7397.200000000001
1829,Sucursal 1829,Baleares,Luna Alcalde,26185.42
1830,Sucursal 1830,Navarra,Albano Calzada,22770.65
1831,Sucursal 1831,Guadalajara,Albina Gomila,23689.04
1832,Sucursal 1832,Soria,Patricio Aznar,10584.76
1833,Sucursal 1833,Asturias,Aitor Cárdenas,2895.46
1834,Sucursal 1834,Toledo,Ricardo Font,2262.04
1835,Sucursal 1835,Lleida,Cristian Carlos,18846.72
1836,Sucursal 1836,Navarra,Anita Juan,22226.25
1837,Sucursal 1837,Pontevedra,Griselda Velasco,11858.46
1838,Sucursal 1838,Zamora,Carolina Carballo,12866.95
1839,Sucursal 1839,Granada,Josefa Lumbreras,4659.81
1840,Sucursal 1840,Melilla,Chema Sosa,23061.62
1841,Sucursal 1841,León,Morena Villa,25441.98
1842,Sucursal 1842,Salamanca,Eleuterio Cervera,9177.02
1843,Sucursal 1843,Cádiz,Ariel Querol,3726.81
1844,Sucursal 1844,Salamanca,Ileana Jódar,20028.44
1845,Sucursal 1845,Murcia,Zacarías Lledó,22335.77
1846,Sucursal 1846,Ciudad,Samanta Nevado,5478.96
1847,Sucursal 1847,Baleares,Fanny Calleja,17825.739999999998
1848,Sucursal 1848,Córdoba,María Manuela Ferrándiz,18586.23
1849,Sucursal 1849,Palencia,Cipriano Ureña,18360.46
1850,Sucursal 1850,Asturias,Cirino Bilbao,31739.45
1851,Sucursal 1851,La Rioja,Hernán Adán,17742.46
1853,Sucursal 1853,Soria,Elodia Chaves,16089.36
1854,Sucursal 1854,Lugo,Estela Cuesta,25337.4
1855,Sucursal 1855,Zamora,Germán Campo,29564.75
1856,Sucursal 1856,Teruel,Joaquina Mena,2264.12
1857,Sucursal 1857,Las Palmas,Nilo Fernández,22146.7
1858,Sucursal 1858,Ourense,Sarita Oliveras,21629.81
1859,Sucursal 1859,Guadalajara,Severino Tur,10683.37
1860,Sucursal 1860,Pontevedra,Gil Cañizares,11013.34
1861,Sucursal 1861,Huelva,Bernarda Menéndez,24556.12
1862,Sucursal 1862,Guadalajara,Pancho Castañeda,3473.33
1863,Sucursal 1863,Cantabria,Silvia Saez,2309.75
1864,Sucursal 1864,Valladolid,Moreno Cornejo,9773.98
1865,Sucursal 1865,Soria,Aurelia Belmonte,33580.93
1866,Sucursal 1866,Alicante,Alberto Arce,1806.48
1867,Sucursal 1867,Cáceres,Benigno Bernat,6023.73
1868,Sucursal 1868,Toledo,Calista Valderrama,6416.09
1869,Sucursal 1869,Cuenca,Eladio Durán,13500.76
1870,Sucursal 1870,Santa Cruz de Tenerife,Paloma Solana,30575.21
1871,Sucursal 1871,Navarra,Tatiana Castells,13992.38
1872,Sucursal 1872,Huelva,Macarena Gascón,8960.82
1873,Sucursal 1873,Sevilla,Óscar Nieto,21039.7
1874,Sucursal 1874,Zaragoza,Cristian Girón,23856.69
1875,Sucursal 1875,Jaén,Amada Roman,14566.56
1876,Sucursal 1876,Navarra,Teófilo Quintanilla,18754.85
1877,Sucursal 1877,Castellón,Aitor Solano,11303.279999999999
1878,Sucursal 1878,Valencia,Araceli Pineda,9462.220000000001
1879,Sucursal 1879,Málaga,Florencia Arévalo,18011.02
1880,Sucursal 1880,Burgos,Emilio Llorens,15591.5
1881,Sucursal 1881,La Coruña,Renata Enríquez,7606.77
1882,Sucursal 1882,Ceuta,Damián Álvaro,3713.52
1883,Sucursal 1883,Cantabria,Nayara Coll,4231.13
1884,Sucursal 1884,Barcelona,Nuria Elorza,14575.42
1885,Sucursal 1885,Soria,Aitor Losa,8736.3
1886,Sucursal 1886,Tarragona,Pastor Mateos,14988.01
1887,Sucursal 1887,Almería,Macaria Villalba,16304.53
1888,Sucursal 1888,Cáceres,Herberto Casas,14161.4
1889,Sucursal 1889,Santa Cruz de Tenerife,Fito Jiménez,5044.29
1891,Sucursal 1891,Teruel,Juan Antonio Huerta,8797.41
1892,Sucursal 1892,León,Celestina Madrigal,22902.98
1893,Sucursal 1893,Álava,Basilio Montaña,4866.62
1894,Sucursal 1894,Salamanca,Nicodemo Palomares,19255.06
1895,Sucursal 1895,Sevilla,Lucho Batalla,16292.91
1896,Sucursal 1896,Álava,Jose Carlos Jordá,37653.05
1897,Sucursal 1897,Valencia,Octavia Arnau,25036.63
1898,Sucursal 1898,Cuenca,María José Paniagua,11999.56
1899,Sucursal 1899,Ceuta,Borja Carvajal,5803.19
1900,Sucursal 1900,Cáceres,Emelina Flores,9106.240000000002
1901,Sucursal 1901,La Rioja,Roque Pinedo,9616.76
1902,Sucursal 1902,Granada,Jaime Ródenas,15455.59
1903,Sucursal 1903,La Rioja,Sancho Durán,13964.48
1904,Sucursal 1904,Baleares,Teresita Serrano,14360.2
1905,Sucursal 1905,Navarra,Nilo Miró,20846.85
1906,Sucursal 1906,Baleares,Emperatriz Ribera,7611.58
1907,Sucursal 1907,Las Palmas,Lorenzo Barceló,9600.11
1908,Sucursal 1908,Cádiz,María José Pardo,33004.63
1909,Sucursal 1909,Salamanca,Fermín Agustín,13649.029999999999
1910,Sucursal 1910,Teruel,Apolonia Roma,29664.61
1911,Sucursal 1911,Guadalajara,Paulina Guerrero,19628.62
1912,Sucursal 1912,La Rioja,Gerardo Carbó,6616.889999999999
1913,Sucursal 1913,Navarra,Saturnino Becerra,9772.970000000001
1914,Sucursal 1914,Ciudad,Francisco Bosch,22250.07
1915,Sucursal 1915,Madrid,Virginia Lumbreras,13774.51
1916,Sucursal 1916,Santa Cruz de Tenerife,Antonia Cabezas,5671.6900000000005
1917,Sucursal 1917,León,Fabiana Amo,20577.62
1918,Sucursal 1918,Cáceres,María Luisa Múgica,15530.59
1919,Sucursal 1919,Sevilla,Alicia Sureda,6010.33
1920,Sucursal 1920,Granada,Hilario Giménez,16975.29
1921,Sucursal 1921,Guadalajara,Belén Soler,23004.03
1922,Sucursal 1922,Ourense,Olivia Alegre,6445.58
1923,Sucursal 1923,Pontevedra,Salomón Iriarte,24874.38
1924,Sucursal 1924,Granada,Encarnacion Juan,21002.93
1925,Sucursal 1925,Lugo,Guadalupe Cárdenas,17597.33
1926,Sucursal 1926,Lugo,Olivia Andrés,9761.07
1927,Sucursal 1927,Málaga,José Antonio Corominas,10282.939999999999
1928,Sucursal 1928,Girona,Aureliano Arnal,1513.35
1929,Sucursal 1929,Ceuta,Moisés Reig,1507.07
1930,Sucursal 1930,Cantabria,Perlita Clemente,28682.85
1931,Sucursal 1931,Alicante,Eleuterio Ledesma,4586.42
1932,Sucursal 1932,Cádiz,Dulce Santamaria,23353.63
1933,Sucursal 1933,Huelva,Asdrubal Torrents,7916.280000000001
1935,Sucursal 1935,Palencia,Lilia Ortuño,7219.62
1936,Sucursal 1936,Ceuta,Carlos Nieto,22216.48
1937,Sucursal 1937,Palencia,Joan Molins,3848.82
1938,Sucursal 1938,Vizcaya,Américo Torralba,924.06
1939,Sucursal 1939,Ciudad,Ismael Guerrero,8848.11
1940,Sucursal 1940,Valencia,Samu Barrera,8454.9
1941,Sucursal 1941,Toledo,Maxi Nebot,12165.619999999999
1942,Sucursal 1942,Asturias,Emiliana Heras,15510.05
1943,Sucursal 1943,Guipúzcoa,Angelita Arteaga,6086.0599999999995
1944,Sucursal 1944,Pontevedra,Fabián Morell,20521.25
1945,Sucursal 1945,Las Palmas,Consuela Marin,5049.2300000000005
1946,Sucursal 1946,Soria,Isaías Coronado,24516.73
1947,Sucursal 1947,Almería,Arsenio Sanjuan,21621.58
1948,Sucursal 1948,Las Palmas,Hilario Báez,4027.82
1949,Sucursal 1949,Alicante,Cristian Belmonte,16846.88
1950,Sucursal 1950,La Coruña,Remigio Posada,5592.4
1951,Sucursal 1951,Vizcaya,Josefa Blanco,5599.66
1952,Sucursal 1952,Vizcaya,Loreto Fuster,22881.7
1953,Sucursal 1953,Toledo,Leyre Becerra,16323.300000000001
1954,Sucursal 1954,Baleares,Rico Tamarit,16264.0
1955,Sucursal 1955,Ourense,Leopoldo Mena,35095.49
1956,Sucursal 1956,Navarra,Luis Ángel Sanmartín,13187.85
1957,Sucursal 1957,Sevilla,Candelaria Roda,35833.56
1958,Sucursal 1958,Melilla,Ligia Granados,12887.19
1959,Sucursal 1959,Ourense,Bonifacio Márquez,15446.25
1960,Sucursal 1960,Badajoz,Juan Francisco Montaña,16265.41
1961,Sucursal 1961,Madrid,Fátima Carrillo,20900.1
1962,Sucursal 1962,Tarragona,Leticia Peñas,14459.42
1964,Sucursal 1964,Granada,Carmelo Chacón,6936.76
1965,Sucursal 1965,Teruel,Irma Pereira,12617.17
1966,Sucursal 1966,Santa Cruz de Tenerife,Isidora Peñas,6481.42
1967,Sucursal 1967,Cádiz,Primitivo Segarra,16842.550000000003
1968,Sucursal 1968,Salamanca,Octavio España,15725.310000000001
1969,Sucursal 1969,Burgos,Jordana Benito,14737.87
1970,Sucursal 1970,Málaga,Jordán Expósito,25843.12
1971,Sucursal 1971,Valladolid,Camila Segura,19191.46
1972,Sucursal 1972,Alicante,Vasco Bárcena,16043.89
1973,Sucursal 1973,Santa Cruz de Tenerife,Jonatan Cánovas,19533.08
1974,Sucursal 1974,Almería,Abril Simó,10178.27
1975,Sucursal 1975,Zamora,Luisina Rey,13841.24
1976,Sucursal 1976,Asturias,Evita Cervera,23118.54
1977,Sucursal 1977,Granada,Fito Puente,8937.34
1978,Sucursal 1978,Castellón,Marc Palomar,16900.23
1979,Sucursal 1979,Cantabria,Guiomar Sanchez,12512.54
1980,Sucursal 1980,Huelva,Vinicio Criado,20464.5
1981,Sucursal 1981,Girona,Esmeralda Menéndez,25979.54
1982,Sucursal 1982,Murcia,Rubén Ponce,14808.23
1983,Sucursal 1983,Sevilla,Jose Ignacio Manso,27924.05
1984,Sucursal 1984,Guadalajara,Gloria Huerta,26093.64
1985,Sucursal 1985,Soria,Carlos Nicolás,26486.79
1986,Sucursal 1986,Granada,Julieta Múgica,28967.66
1987,Sucursal 1987,Cádiz,Glauco Carbonell,12561.11
1988,Sucursal 1988,Barcelona,Obdulia Fiol,24527.34
1989,Sucursal 1989,Barcelona,Nacho Barrera,16283.44
1990,Sucursal 1990,Ciudad,Aurelio Cerdá,18447.5
1992,Sucursal 1992,León,Casemiro Cabrero,19071.35
1993,Sucursal 1993,Melilla,Clotilde Oliveras,2245.94
1994,Sucursal 1994,Almería,Dora Berrocal,9921.29
1995,Sucursal 1995,Guadalajara,Cecilio Trujillo,26667.18
1996,Sucursal 1996,Soria,Guiomar Cal,18922.61
1997,Sucursal 1997,Castellón,María Carmen Bello,6599.63
1998,Sucursal 1998,Ceuta,Octavia Palomares,18032.05
1999,Sucursal 1999,Huelva,Candelario Calatayud,18829.61
2000,Sucursal 2000,Álava,Encarna Amaya,11217.88
2001,Sucursal 2001,Salamanca,Pío Casanovas,29226.11
2002,Sucursal 2002,León,Cesar Isern,11229.17
2003,Sucursal 2003,Tarragona,Ximena Prat,20796.41
2004,Sucursal 2004,Zaragoza,Renato Muñoz,26623.03
2005,Sucursal 2005,Sevilla,Leandro Coronado,33279.95
2006,Sucursal 2006,Huesca,Abilio Collado,25220.2
2007,Sucursal 2007,Castellón,Viviana Sevillano,20020.26
2008,Sucursal 2008,Valladolid,Bibiana Olmo,3458.3
2009,Sucursal 2009,Murcia,Edgardo Cabello,9316.16
2010,Sucursal 2010,Baleares,Máxima Ballesteros,31904.5
2011,Sucursal 2011,Palencia,Lalo Tenorio,15081.01
2012,Sucursal 2012,Tarragona,María Ángeles Blanca,14548.11
2013,Sucursal 2013,Álava,Constanza Escudero,11184.189999999999
2014,Sucursal 2014,Navarra,Rosendo Villena,15221.36
2015,Sucursal 2015,Ceuta,Ámbar Vallejo,13549.79
2016,Sucursal 2016,La Coruña,Chus Arranz,7537.62
2017,Sucursal 2017,Palencia,Patricio Manjón,15072.44
2018,Sucursal 2018,Albacete,Albina Parra,5483.79
2019,Sucursal 2019,Lleida,Delia Hervás,27344.8
2020,Sucursal 2020,Ciudad,Macaria Palau,11323.609999999999
2021,Sucursal 2021,Toledo,Adora Valle,11758.18
2022,Sucursal 2022,Sevilla,Cirino Rocha,38465.56
2023,Sucursal 2023,Jaén,Isaac Barceló,28556.83
2024,Sucursal 2024,Segovia,Amaro Valera,18557.29
2025,Sucursal 2025,Zaragoza,Dionisia Ballesteros,17014.45
2026,Sucursal 2026,Huelva,Jennifer Mas,3356.2299999999996
2027,Sucursal 2027,Melilla,Pastor Cabezas,16632.18
2028,Sucursal 2028,Albacete,Poncio Porcel,14122.669999999998
2029,Sucursal 2029,Toledo,Esther Baeza,9814.970000000001
2030,Sucursal 2030,Melilla,Ana Belén Ribas,13086.080000000002
2031,Sucursal 2031,Castellón,Ismael Leon,11964.52
2032,Sucursal 2032,Cáceres,Juan José Salvador,16741.9
2033,Sucursal 2033,Lugo,Reyes Alberdi,12639.33
2034,Sucursal 2034,Madrid,Remigio Gutiérrez,18293.8
2036,Sucursal 2036,La Rioja,Arturo Amaya,22407.68
2037,Sucursal 2037,Palencia,Sebastián Prada,7974.4800000000005
2038,Sucursal 2038,Almería,Florencia Prats,15793.34
2039,Sucursal 2039,Zaragoza,Juan Luis Báez,29213.31
2040,Sucursal 2040,Lugo,Albert Marti,12346.09
2042,Sucursal 2042,Huelva,Buenaventura Catalá,17461.04
2043,Sucursal 2043,Cádiz,Cesar Rodriguez,1568.99
2044,Sucursal 2044,Tarragona,Abraham Páez,16416.33
2045,Sucursal 2045,Guadalajara,Leonor Boix,24615.300000000003
2046,Sucursal 2046,Salamanca,Francisco Riba,13927.8
2047,Sucursal 2047,Lugo,Amando Arribas,21567.25
2048,Sucursal 2048,Las Palmas,Noelia Alberto,19181.33
2049,Sucursal 2049,Albacete,Abilio Rios,13176.66
2050,Sucursal 2050,Albacete,Luz Valero,11290.17
2051,Sucursal 2051,Las Palmas,Osvaldo Fonseca,9300.720000000001
